IMAGE-PATH,IMAGE-NAME,IMAGE-1st-DOMINANT-COLOR,IMAGE-2nd-DOMINANT-COLOR
zip file/MTO-PAT365-ORG.jpg,MTO-PAT365-ORG.jpg,Brick Red,Pastel Orange
zip file/MTO-AR-TR-12.jpg,MTO-AR-TR-12.jpg,Jet Black,Pewter
zip file/MDR-MTO-URB14.jpg,MDR-MTO-URB14.jpg,Jet Black,Light Gray
zip file/MTO-AR-TR-16.jpg,MTO-AR-TR-16.jpg,Pearl,Licorice
zip file/MDR-MTO-ABS14.jpg,MDR-MTO-ABS14.jpg,Licorice,Pastel Orange
zip file/MDR-MTO-URB23.jpg,MDR-MTO-URB23.jpg,Licorice,Bone White
zip file/MTO-PAT362-LBLU.jpg,MTO-PAT362-LBLU.jpg,Steel Blue,Dark Tan
zip file/MDR-MTO-ABS32.jpg,MDR-MTO-ABS32.jpg,Desert,Russet
zip file/MTO-AR-TR-33.jpg,MTO-AR-TR-33.jpg,Dusty Rose,Black
zip file/MTO-PAT364-PUR.jpg,MTO-PAT364-PUR.jpg,Lavender,Tyrian Purple
zip file/MTO-PAT362-BLU.jpg,MTO-PAT362-BLU.jpg,Quartz,Lavender
zip file/MDR-MTO-ABS26.jpg,MDR-MTO-ABS26.jpg,Copper,Cream
zip file/MTO-AR-TR-25.jpg,MTO-AR-TR-25.jpg,Licorice,Rose Gold
zip file/MTO-AR-TR-30.jpg,MTO-AR-TR-30.jpg,Licorice,Smoke
zip file/MTO-PAT362-GRN.jpg,MTO-PAT362-GRN.jpg,Nyanza,Hunter Green
zip file/MDR-MTO-URB20.jpg,MDR-MTO-URB20.jpg,Linen,Taupe
zip file/MTO-PAT360-LBLU.jpg,MTO-PAT360-LBLU.jpg,Cordovan,Light Green
zip file/MDR-MTO-URB33.jpg,MDR-MTO-URB33.jpg,Light Gray,Licorice
zip file/MDR-MTO-ABS12.jpg,MDR-MTO-ABS12.jpg,Licorice,Khaki
zip file/MTO-AR-TR-32.jpg,MTO-AR-TR-32.jpg,Licorice,Rose Gold
zip file/MDR-MTO-ABS38.jpg,MDR-MTO-ABS38.jpg,Copper,Peach
zip file/MDR-MTO-URB21.jpg,MDR-MTO-URB21.jpg,Off White,Taupe
zip file/MTO-PAT360-RD.jpg,MTO-PAT360-RD.jpg,Oxblood,Millennial Pink
zip file/MTO-PAT362-BRN.jpg,MTO-PAT362-BRN.jpg,Sienna,Beige
zip file/MDR-MTO-ABS4.jpg,MDR-MTO-ABS4.jpg,Brass,Falu Red
zip file/MTO-AR-TR-18.jpg,MTO-AR-TR-18.jpg,Dark Purple,Eggshell
zip file/MDR-MTO-ABS25.jpg,MDR-MTO-ABS25.jpg,Chocolate,Peach
zip file/MDR-MTO-URB11.jpg,MDR-MTO-URB11.jpg,Matte Black,Light Gray
